Descripcion;Colección;Prefijo_Coleccion;Codigo_Producto;SKU;Foto_Comodin_Coleccion;Foto_Real_Codigo_Producto;Precio_EUR;Precio_COP;Multiplicador
;GAROFANO BLU;GB;016;GB016;Garofano_Blu.png;016.jpg;EUR 63,47;COP 799.747;
;GAROFANO IMOLA;GI;016;GI016;Garofano_Imola.png;016.jpg;EUR 81,51;COP 1.027.051;
;GAROFANO TIFFANY;GT;016;GT016;Garofano_Tiffany.png;016.jpg;EUR 81,51;COP 1.027.051;
;GAROFANO ROSA;GP;016;GP016;Garofano_Rosa.png;016.jpg;EUR 81,51;COP 1.027.051;
;GAROFANO LAVI;GL;016;GL016;Garofano_Lavi.png;016.jpg;EUR 81,51;COP 1.027.051;
;ROSSO E ORO;GRG;016;GRG016;Rosso_E_Oro.png;016.jpg;EUR 89,66;COP 1.129.756;
;AVORIO E ORO;GIG;016;GIG016;Avorio_E_Oro.png;016.jpg;EUR 89,66;COP 1.129.756;
Coffee pot x 12;GIALLO FIORE;GF;017;GF017;Giallo_Fiore.png;017.jpg;EUR 71,41;COP 899.741;
;BIANCO FIORE;BF;017;BF017;Bianco_Fiore.png;017.jpg;EUR 71,41;COP 899.741;
;MAZZETTO;MZ;017;MZ017;Mazzetto.png;017.jpg;EUR 75,02;COP 945.202;
;GAROFANO BLU;GB;017;GB017;Garofano_Blu.png;017.jpg;EUR 80,06;COP 1.008.806;
;GAROFANO IMOLA;GI;017;GI017;Garofano_Imola.png;017.jpg;EUR 102,42;COP 1.290.542;
;GAROFANO TIFFANY;GT;017;GT017;Garofano_Tiffany.png;017.jpg;EUR 102,42;COP 1.290.542;
;GAROFANO ROSA;GP;017;GP017;Garofano_Rosa.png;017.jpg;EUR 102,42;COP 1.290.542;
;GAROFANO LAVI;GL;017;GL017;Garofano_Lavi.png;017.jpg;EUR 102,42;COP 1.290.542;
;ROSSO E ORO;GRG;017;GRG017;Rosso_E_Oro.png;017.jpg;EUR 112,67;COP 1.419.597;
;AVORIO E ORO;GIG;017;GIG017;Avorio_E_Oro.png;017.jpg;EUR 112,67;COP 1.419.597;
Candlestick with handle;GIALLO FIORE;GF;018;GF018;Giallo_Fiore.png;018.jpg;EUR 36,78;COP 463.478;
;BIANCO FIORE;BF;018;BF018;Bianco_Fiore.png;018.jpg;EUR 36,78;COP 463.478;
;MAZZETTO;MZ;018;MZ018;Mazzetto.png;018.jpg;EUR 38,23;COP 481.723;
;GAROFANO BLU;GB;018;GB018;Garofano_Blu.png;018.jpg;EUR 38,95;COP 490.795;
;GAROFANO IMOLA;GI;018;GI018;Garofano_Imola.png;018.jpg;EUR 45,44;COP 572.544;
;GAROFANO TIFFANY;GT;018;GT018;Garofano_Tiffany.png;018.jpg;EUR 45,44;COP 572.544;
;GAROFANO ROSA;GP;018;GP018;Garofano_Rosa.png;018.jpg;EUR 45,44;COP 572.544;
;GAROFANO LAVI;GL;018;GL018;Garofano_Lavi.png;018.jpg;EUR 45,44;COP 572.544;
;ROSSO E ORO;GRG;018;GRG018;Rosso_E_Oro.png;018.jpg;EUR 49,98;COP 629.798;
;AVORIO E ORO;GIG;018;GIG018;Avorio_E_Oro.png;018.jpg;EUR 49,98;COP 629.798;
New candlestick;GIALLO FIORE;GF;019;GF019;Giallo_Fiore.png;019.jpg;EUR 34,62;COP 436.262;
;BIANCO FIORE;BF;019;BF019;Bianco_Fiore.png;019.jpg;EUR 34,62;COP 436.262;
;MAZZETTO;MZ;019;MZ019;Mazzetto.png;019.jpg;EUR 36,06;COP 454.406;
;GAROFANO BLU;GB;019;GB019;Garofano_Blu.png;019.jpg;EUR 36,78;COP 463.478;
;GAROFANO IMOLA;GI;019;GI019;Garofano_Imola.png;019.jpg;EUR 43,28;COP 545.328;
;GAROFANO TIFFANY;GT;019;GT019;Garofano_Tiffany.png;019.jpg;EUR 43,28;COP 545.328;
;GAROFANO ROSA;GP;019;GP019;Garofano_Rosa.png;019.jpg;EUR 43,28;COP 545.328;
;GAROFANO LAVI;GL;019;GL019;Garofano_Lavi.png;019.jpg;EUR 43,28;COP 545.328;
;ROSSO E ORO;GRG;019;GRG019;Rosso_E_Oro.png;019.jpg;EUR 47,61;COP 599.861;
;AVORIO E ORO;GIG;019;GIG019;Avorio_E_Oro.png;019.jpg;EUR 47,61;COP 599.861;
Bowl - 15 cm;GIALLO FIORE;GF;020;GF020;Giallo_Fiore.png;020.jpg;EUR 15,14;COP 190.814;
;BIANCO FIORE;BF;020;BF020;Bianco_Fiore.png;020.jpg;EUR 15,14;COP 190.814;
;MAZZETTO;MZ;020;MZ020;Mazzetto.png;020.jpg;EUR 16,59;COP 209.059;
;GAROFANO BLU;GB;020;GB020;Garofano_Blu.png;020.jpg;EUR 23,80;COP 299.880;
;GAROFANO IMOLA;GI;020;GI020;Garofano_Imola.png;020.jpg;EUR 28,86;COP 363.586;
;GAROFANO TIFFANY;GT;020;GT020;Garofano_Tiffany.png;020.jpg;EUR 28,86;COP 363.586;
;GAROFANO ROSA;GP;020;GP020;Garofano_Rosa.png;020.jpg;EUR 28,86;COP 363.586;
;GAROFANO LAVI;GL;020;GL020;Garofano_Lavi.png;020.jpg;EUR 28,86;COP 363.586;
;ROSSO E ORO;GRG;020;GRG020;Rosso_E_Oro.png;020.jpg;EUR 31,74;COP 399.944;
;AVORIO E ORO;GIG;020;GIG020;Avorio_E_Oro.png;020.jpg;EUR 31,74;COP 399.944;
Bowl - 17 cm;GIALLO FIORE;GF;021;GF021;Giallo_Fiore.png;021.jpg;EUR 17,31;COP 218.131;
;BIANCO FIORE;BF;021;BF021;Bianco_Fiore.png;021.jpg;EUR 17,31;COP 218.131;
;MAZZETTO;MZ;021;MZ021;Mazzetto.png;021.jpg;EUR 23,08;COP 290.808;
;GAROFANO BLU;GB;021;GB021;Garofano_Blu.png;021.jpg;EUR 26,69;COP 336.269;
;GAROFANO IMOLA;GI;021;GI021;Garofano_Imola.png;021.jpg;EUR 33,90;COP 427.190;
;GAROFANO TIFFANY;GT;021;GT021;Garofano_Tiffany.png;021.jpg;EUR 33,90;COP 427.190;
;GAROFANO ROSA;GP;021;GP021;Garofano_Rosa.png;021.jpg;EUR 33,90;COP 427.190;
;GAROFANO LAVI;GL;021;GL021;Garofano_Lavi.png;021.jpg;EUR 33,90;COP 427.190;
;ROSSO E ORO;GRG;021;GRG021;Rosso_E_Oro.png;021.jpg;EUR 37,29;COP 469.909;
;AVORIO E ORO;GIG;021;GIG021;Avorio_E_Oro.png;021.jpg;EUR 37,29;COP 469.909;
Central appetizer bowl;GIALLO FIORE;GF;022;GF022;Giallo_Fiore.png;022.jpg;EUR 21,64;COP 272.664;
;BIANCO FIORE;BF;022;BF022;Bianco_Fiore.png;022.jpg;EUR 21,64;COP 272.664;
;MAZZETTO;MZ;022;MZ022;Mazzetto.png;022.jpg;EUR 23,08;COP 290.808;
;GAROFANO BLU;GB;022;GB022;Garofano_Blu.png;022.jpg;EUR 25,97;COP 327.197;
;GAROFANO IMOLA;GI;022;GI022;Garofano_Imola.png;022.jpg;EUR 28,86;COP 363.586;
;GAROFANO TIFFANY;GT;022;GT022;Garofano_Tiffany.png;022.jpg;EUR 28,86;COP 363.586;
;GAROFANO ROSA;GP;022;GP022;Garofano_Rosa.png;022.jpg;EUR 28,86;COP 363.586;
;GAROFANO LAVI;GL;022;GL022;Garofano_Lavi.png;022.jpg;EUR 28,86;COP 363.586;
;ROSSO E ORO;GRG;022;GRG022;Rosso_E_Oro.png;022.jpg;EUR 31,74;COP 399.944;
;AVORIO E ORO;GIG;022;GIG022;Avorio_E_Oro.png;022.jpg;EUR 31,74;COP 399.944;
Side appetizer bowl;GIALLO FIORE;GF;023;GF023;Giallo_Fiore.png;023.jpg;EUR 16,59;COP 209.059;
;BIANCO FIORE;BF;023;BF023;Bianco_Fiore.png;023.jpg;EUR 16,59;COP 209.059;
;MAZZETTO;MZ;023;MZ023;Mazzetto.png;023.jpg;EUR 17,31;COP 218.131;
;GAROFANO BLU;GB;023;GB023;Garofano_Blu.png;023.jpg;EUR 24,53;COP 309.053;
;GAROFANO IMOLA;GI;023;GI023;Garofano_Imola.png;023.jpg;EUR 31,74;COP 399.874;
;GAROFANO TIFFANY;GT;023;GT023;Garofano_Tiffany.png;023.jpg;EUR 31,74;COP 399.874;
;GAROFANO ROSA;GP;023;GP023;Garofano_Rosa.png;023.jpg;EUR 31,74;COP 399.874;
;GAROFANO LAVI;GL;023;GL023;Garofano_Lavi.png;023.jpg;EUR 31,74;COP 399.874;
;ROSSO E ORO;GRG;023;GRG023;Rosso_E_Oro.png;023.jpg;EUR 34,91;COP 439.861;
;AVORIO E ORO;GIG;023;GIG023;Avorio_E_Oro.png;023.jpg;EUR 34,91;COP 439.861;
Side ice cream bowl;GIALLO FIORE;GF;024;GF024;Giallo_Fiore.png;024.jpg;EUR 15,14;COP 190.814;
;BIANCO FIORE;BF;024;BF024;Bianco_Fiore.png;024.jpg;EUR 15,14;COP 190.814;
;MAZZETTO;MZ;024;MZ024;Mazzetto.png;024.jpg;EUR 20,92;COP 263.592;
;GAROFANO BLU;GB;024;GB024;Garofano_Blu.png;024.jpg;EUR 31,02;COP 390.802;
;GAROFANO IMOLA;GI;024;GI024;Garofano_Imola.png;024.jpg;EUR 41,11;COP 518.011;
;GAROFANO TIFFANY;GT;024;GT024;Garofano_Tiffany.png;024.jpg;EUR 41,11;COP 518.011;
;GAROFANO ROSA;GP;024;GP024;Garofano_Rosa.png;024.jpg;EUR 41,11;COP 518.011;
;GAROFANO LAVI;GL;024;GL024;Garofano_Lavi.png;024.jpg;EUR 41,11;COP 518.011;
;ROSSO E ORO;GRG;024;GRG024;Rosso_E_Oro.png;024.jpg;EUR 45,22;COP 569.812;
;AVORIO E ORO;GIG;024;GIG024;Avorio_E_Oro.png;024.jpg;EUR 45,22;COP 569.812;
Small fruit bowl;GIALLO FIORE;GF;025;GF025;Giallo_Fiore.png;025.jpg;EUR 17,31;COP 218.131;
;BIANCO FIORE;BF;025;BF025;Bianco_Fiore.png;025.jpg;EUR 17,31;COP 218.131;
;MAZZETTO;MZ;025;MZ025;Mazzetto.png;025.jpg;EUR 19,47;COP 245.347;
;GAROFANO BLU;GB;025;GB025;Garofano_Blu.png;025.jpg;EUR 26,69;COP 336.269;
;GAROFANO IMOLA;GI;025;GI025;Garofano_Imola.png;025.jpg;EUR 30,30;COP 381.730;
;GAROFANO TIFFANY;GT;025;GT025;Garofano_Tiffany.png;025.jpg;EUR 30,30;COP 381.730;
;GAROFANO ROSA;GP;025;GP025;Garofano_Rosa.png;025.jpg;EUR 30,30;COP 381.730;
;GAROFANO LAVI;GL;025;GL025;Garofano_Lavi.png;025.jpg;EUR 30,30;COP 381.730;
;ROSSO E ORO;GRG;025;GRG025;Rosso_E_Oro.png;025.jpg;EUR 33,33;COP 419.903;
